[LOG : 0.204000] inizializzazione del player
[LOG : 0.169000] inizializzazione del player
[LOG : 0.267000] Player Started At 14:54:56
[LOG : 0.163000] Player Started At 15:36:19
[LOG : 0.153000] Player Started At 15:37:38
[LOG : 0.190000] Player Started At 15:38:44
[LOG : 0.193000] Player Started At 15:39:53
[LOG : 0.145000] Player Started At 15:45:41
[LOG : 0.153000] Player Started At 15:48:27
[LOG : 0.159000] Player Started At 15:49:29
[LOG : 0.230000] Player Started At 15:55:44
[LOG : 0.160000] Player Started At 16:01:00
[LOG : 0.141000] Player Started At 16:03:39
[LOG : 0.138000] Player Started At 16:06:49
