[LOG : 0.169000] inizializzazione del player
[LOG : 0.236000] inizializzazione del player
[LOG : 0.141000] Player Started At 14:54:56
[LOG : 0.275000] Player Started At 15:36:19
[LOG : 0.155000] Player Started At 15:37:38
[LOG : 0.152000] Player Started At 15:38:44
[LOG : 0.123000] Player Started At 15:39:53
[LOG : 0.178000] Player Started At 15:45:41
[LOG : 0.172000] Player Started At 15:48:27
[LOG : 0.160000] Player Started At 15:49:29
[LOG : 0.116000] Player Started At 15:55:44
[LOG : 0.126000] Player Started At 16:01:00
[LOG : 0.128000] Player Started At 16:03:39
[LOG : 0.171000] Player Started At 16:06:49
